
time	carl level (in)	dug level (in)
2022-12-17T19:52	14.0	11.4
2022-12-17T20:22	14.0	11.4
2022-12-17T20:52	14.0	11.4
2022-12-17T21:22	14.1	11.5
2022-12-17T21:52	14.1	11.5
2022-12-17T22:22	14.1	11.5
2022-12-17T22:52	14.1	11.5
2022-12-17T23:22	14.1	11.7
2022-12-17T23:52	14.1	11.7
2022-12-18T00:22	14.2	11.7
2022-12-18T00:52	14.2	11.7
2022-12-18T01:22	14.2	11.8
2022-12-18T01:52	14.2	11.8
2022-12-18T02:22	14.2	11.8
2022-12-18T02:52	14.2	11.8
2022-12-18T03:22	14.3	11.9
2022-12-18T03:52	14.3	11.9
2022-12-18T04:22	14.3	12.0
2022-12-18T04:52	14.3	12.0
2022-12-18T05:22	14.3	12.1
2022-12-18T05:52	14.4	12.1
2022-12-18T06:22	14.4	12.1
2022-12-18T06:52	14.4	12.1
2022-12-18T07:22	14.4	12.2
2022-12-18T07:52	14.5	12.2
2022-12-18T08:22	14.5	12.2
2022-12-18T08:52	14.5	12.2
2022-12-18T09:22	14.5	12.3
2022-12-18T09:52	14.5	12.3
2022-12-18T10:22	14.5	12.4
2022-12-18T10:52	14.5	12.4
2022-12-18T11:22	14.6	12.5
2022-12-18T11:52	14.6	12.5
2022-12-18T12:22	14.6	12.6
2022-12-18T12:52	14.6	12.6
2022-12-18T13:22	14.6	12.6
2022-12-18T13:52	14.7	12.6
2022-12-18T14:22	14.7	12.7
2022-12-18T14:52	14.7	12.7
2022-12-18T15:22	14.7	12.7
2022-12-18T15:52	14.7	12.7
2022-12-18T16:22	14.7	12.8
2022-12-18T16:52	14.8	12.8
2022-12-18T17:22	14.8	12.9
2022-12-18T17:52	14.8	12.9
2022-12-18T18:22	14.8	13.0
2022-12-18T18:52	14.8	13.0
2022-12-18T19:22	14.8	13.0
2022-12-18T19:52	14.8	13.0
2022-12-18T20:22	14.9	13.1
2022-12-18T20:52	14.9	13.1
2022-12-18T21:22	14.9	13.2
2022-12-18T21:52	14.9	13.2
2022-12-18T22:22	14.9	13.3
2022-12-18T22:52	14.9	13.3
2022-12-18T23:22	14.9	13.4
2022-12-18T23:52	14.9	13.4
2022-12-19T00:22	14.9	13.4
2022-12-19T00:52	15.0	13.4
2022-12-19T01:22	15.0	13.4
2022-12-19T01:52	15.0	13.4
2022-12-19T02:22	15.0	13.5
2022-12-19T02:52	15.0	13.5
2022-12-19T03:22	15.0	13.6
2022-12-19T03:52	15.0	13.6
2022-12-19T04:22	15.0	13.7
2022-12-19T04:52	15.0	13.7
2022-12-19T05:22	15.0	13.7
2022-12-19T05:52	15.1	13.7
2022-12-19T06:22	15.1	13.8
2022-12-19T06:52	15.1	13.8
2022-12-19T07:22	15.1	13.8
2022-12-19T07:52	15.1	13.8
2022-12-19T08:22	15.2	13.9
2022-12-19T08:52	15.2	13.9
2022-12-19T09:22	15.2	13.9
2022-12-19T09:52	15.2	13.9
2022-12-19T10:22	15.3	14.0
2022-12-19T10:52	15.3	14.0
2022-12-19T11:22	15.3	14.0
2022-12-19T11:52	15.3	14.0
2022-12-19T12:22	15.4	14.1
2022-12-19T12:52	15.4	14.1
2022-12-19T13:22	15.4	14.1
2022-12-19T13:52	15.4	14.1
2022-12-19T14:22	15.4	14.2
2022-12-19T14:52	15.4	14.2
